Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000185559	10.552645139708686	3.5221402669228214	0.4473957462009933	3.458851420060961e-17	1.967798220396348e-14	TRUE
ENSG00000254647	58.198944094136984	2.9341316270828655	0.2345308510864584	7.56962074443472e-38	5.167780082225584e-34	TRUE
ENSG00000121351	36.49325352212281	2.857962228343033	0.31852902567566543	3.1695276541817214e-21	3.0911950421569447e-18	TRUE
ENSG00000141433	7.503301191091901	2.7428825681719933	0.4117328406232521	3.6523874983432e-13	1.1873737833899536e-10	TRUE
ENSG00000275807	8.763521376989944	2.5563111764159925	0.2500078024363018	2.402725353473015e-26	8.201702994080137e-23	TRUE
ENSG00000122585	5.988212567966389	2.1823777894234526	0.6201987931854613	4.36993176952129e-6	3.173779169204452e-4	TRUE
ENSG00000214548	20.09408259125856	1.798426258495773	0.24656970910369225	5.565964596187837e-15	2.3749275186358978e-12	TRUE
ENSG00000134762	5.756734790332154	1.727943545825367	0.18079712047962568	4.802140244609022e-23	8.19605286248645e-20	TRUE
ENSG00000169490	11.61789982183515	1.5184809541764863	0.2824282319603532	1.5692230925161002e-9	3.117827156675569e-7	TRUE
ENSG00000188042	3.6947110807186663	1.51064259399646	0.23945394086576957	9.38902409111622e-12	2.670786144585434e-9	TRUE
ENSG00000151789	8.08659737836132	1.5005836051580448	0.2533001965066375	1.3430734278868853e-15	6.54940163727412e-13	TRUE
ENSG00000260966	8.193058268700359	1.4213149119870792	0.2775978340506201	7.030631662450337e-9	1.1706859112084987e-6	TRUE
ENSG00000183431	51.69287915390866	1.4087334743622923	0.18973741322047824	2.6192335592241323e-15	1.1921005005882099e-12	TRUE
ENSG00000123836	33.816088456226865	1.3890153229643705	0.2128781135990444	1.602914248736944e-12	4.757867641794399e-10	TRUE
ENSG00000185008	9.289399171453264	1.3059949599157774	0.26654670676347775	2.2481717204733817e-8	3.336580072972125e-6	TRUE
ENSG00000206560	18.718955082350913	1.2713212471056294	0.1856173905634773	1.7310340074109305e-13	6.219878509786539e-11	TRUE
ENSG00000163884	6.036761586307118	1.2684449697677551	0.16594401662161168	7.300675578441141e-16	3.833977859539821e-13	TRUE
ENSG00000272031	4.986168766361273	1.2143652855554503	0.13554294009720733	1.4801579365171232e-20	1.2631297790753e-17	TRUE
ENSG00000281591	5.436075554971002	1.1295132378312671	0.12201121211527728	9.563410602288737e-22	1.0881567363637535e-18	TRUE
ENSG00000144619	9.073452074584152	1.0565484491716597	0.25941415393605666	1.1683896277929678e-6	1.0096956948028595e-4	TRUE
ENSG00000182050	10.372435175533743	1.050405200072798	0.1775186431099125	8.867110196735577e-15	3.5609271360655168e-12	TRUE
ENSG00000164756	57.23704629006036	1.0283027733115286	0.12773043582507837	2.572207502618464e-17	1.5964055109432957e-14	TRUE
ENSG00000110013	13.977353304761612	1.0204384661215216	0.17012724052325034	6.117445064521434e-11	1.491564194838851e-8	TRUE
ENSG00000166407	4.283569720974056	0.9626955657623384	0.3115486833014562	4.9482777254716736e-5	0.00246583153516752	TRUE
ENSG00000129757	12.88553780653902	0.9494727959129932	0.21215247602361417	2.19045715547361e-7	2.578319138003161e-5	TRUE
ENSG00000131389	5.131358705823348	0.8990070979113701	0.30522615653249086	7.928571040950002e-5	0.00360149925853263	TRUE
ENSG00000168904	5.054338188528874	0.8636645450155377	0.32289436011051154	1.7272398737219993e-4	0.00685573640575586	TRUE
ENSG00000115457	6.013298370435791	0.8590547980221576	0.2112893964393193	1.5660496556286517e-6	1.304413470506158e-4	TRUE
ENSG00000139364	4.4718709939584675	0.849792833699739	0.22256614041750145	4.50591958320159e-6	3.2380961046860274e-4	TRUE
ENSG00000173068	3.7355987449298342	0.8241403775374269	0.220696096680292	6.2050004184909084e-06	4.2789432178825685e-4	TRUE
ENSG00000198586	45.661867672371336	0.8211819192903885	0.11889491640134069	1.8493451285131054e-13	6.312739596179484e-11	TRUE
ENSG00000140105	6.6625015197745565	0.8204133378571955	0.44988376105135136	0.00107471900142519	0.02671682837577617	TRUE
ENSG00000260314	6.48943180233934	0.7969705054725611	0.5329999423099645	0.00171963760656093	0.03750787840252884	TRUE
ENSG00000152578	3.9077092904948585	0.7936521803167699	0.36026913129573684	6.013155804927146e-4	0.01769474770699897	TRUE
ENSG00000149346	9.32793170496964	0.7906401108251974	0.29459462428322614	1.7880012008515694e-4	0.00705588681977668	TRUE
ENSG00000111845	4.691783025830396	0.7871387769440072	0.33662442163600725	4.394387507882981e-4	0.0136771560903334	TRUE
ENSG00000182718	22.673222453901847	0.780427472199728	0.16441490546630827	7.087339823206805e-8	9.080069352549234e-6	TRUE
ENSG00000143156	19.618013271118613	0.7675490669133802	0.09003633483350625	7.022042593689141e-19	4.793948478711577e-16	TRUE
ENSG00000115461	7.7331006339947566	0.7645543205513013	0.22969950762849345	2.766570267855768e-5	0.00152248248130967	TRUE
ENSG00000107551	5.648156547122135	0.7615826370402071	0.3138539676730109	3.6339414497879753e-4	0.01240445913885125	TRUE
ENSG00000138131	12.071089924493068	0.752364112195959	0.40209541716259145	0.00108363670023055	0.02671682837577617	TRUE
ENSG00000176928	10.787244320111132	0.7512604305303942	0.26498862398502104	1.2677841619584973e-4	0.00521395329740401	TRUE
ENSG00000159692	17.09082643999352	0.7458513960928815	0.07619617245978919	7.295848067675928e-24	1.6602918252674522e-20	TRUE
ENSG00000132669	69.11404713556105	0.721429710905868	0.10835645559952672	1.2119391481695154e-12	3.7608675293424004e-10	TRUE
ENSG00000278963	5.393507935531133	0.718674138613763	0.17981887683027528	2.560917258120205e-6	1.9867479683166635e-4	TRUE
ENSG00000106236	6.594055491965415	0.7178097556383051	0.3539467465418174	9.011420693872966e-4	0.02431658856801214	TRUE
